time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,9.1,7.0,12.0,0.0,,324.0,4.4,,1032.1,
2023-01-02,7.9,4.6,11.1,0.0,,268.0,5.4,,1031.6,
2023-01-03,8.5,4.9,11.0,0.0,,239.0,12.4,,1027.8,
2023-01-04,9.5,6.6,11.0,0.1,,307.0,13.5,,1026.9,
2023-01-05,10.7,9.0,13.0,0.0,,303.0,10.3,,1022.4,
2023-01-06,11.1,10.0,13.0,0.9,,214.0,15.2,,1021.2,
2023-01-07,9.2,6.5,12.0,0.0,,335.0,5.7,,1025.0,
2023-01-08,8.3,4.8,12.0,0.0,,42.0,10.2,,1023.6,
2023-01-09,8.2,4.0,11.0,0.0,,88.0,11.2,,1021.3,
2023-01-10,11.3,9.0,14.0,0.9,,131.0,17.8,,1015.1,
2023-01-11,11.9,11.0,13.0,2.2,,92.0,10.6,,1014.8,
2023-01-12,10.4,8.0,14.0,2.9,,352.0,17.1,,1017.2,
2023-01-13,8.9,7.5,11.0,4.0,,0.0,25.2,,1019.3,
2023-01-14,10.1,9.0,11.0,0.0,,23.0,19.6,,1020.2,
2023-01-15,9.6,8.0,12.0,1.2,,32.0,19.5,,1020.9,
2023-01-16,8.9,6.0,11.2,0.0,,107.0,9.1,,1016.4,
2023-01-17,13.0,11.0,15.0,0.0,,198.0,22.2,,1012.2,
2023-01-18,15.1,13.8,17.0,0.0,,204.0,26.5,,1013.6,
2023-01-19,15.5,14.0,18.0,0.0,,200.0,20.2,,1016.9,
2023-01-20,13.0,8.7,18.0,4.1,,171.0,11.5,,1013.4,
2023-01-21,13.1,11.0,17.0,0.0,,135.0,11.4,,1017.6,
2023-01-22,12.4,8.9,17.0,0.0,,347.0,4.9,,1021.8,
2023-01-23,10.3,9.7,11.5,0.0,,35.0,24.6,,1027.0,
2023-01-24,8.4,6.0,10.0,0.0,,18.0,26.0,,1029.5,
2023-01-25,5.6,4.0,7.0,0.0,,5.0,24.6,,1028.5,
2023-01-26,8.4,5.1,11.2,0.2,,48.0,21.1,,1019.2,
2023-01-27,11.3,9.0,14.0,13.3,,198.0,16.7,,1007.7,
2023-01-28,7.4,4.0,11.0,1.2,,318.0,20.8,,1012.0,
2023-01-29,4.2,3.0,5.2,0.0,,351.0,18.4,,1020.4,
2023-01-30,3.7,2.8,5.0,0.0,,8.0,13.5,,1018.1,
2023-01-31,3.2,0.9,7.0,0.1,,327.0,10.0,,1013.3,
2023-02-01,4.1,0.0,8.0,1.4,,319.0,13.3,,1017.5,
2023-02-02,8.5,7.6,10.0,0.0,,218.0,22.5,,1018.5,
2023-02-03,5.5,3.0,8.4,1.9,,292.0,10.5,,1021.3,
2023-02-04,5.6,3.5,6.2,2.7,,204.0,25.0,,1014.8,
2023-02-05,3.3,0.6,5.8,8.1,,349.0,33.2,,1013.4,
2023-02-06,2.2,0.0,4.5,18.6,,358.0,44.2,,1017.9,
2023-02-07,1.8,0.0,3.2,3.2,,352.0,36.5,,1027.7,
2023-02-08,1.1,-1.0,3.0,2.1,,346.0,26.5,,1033.8,
2023-02-09,3.9,2.0,6.0,1.2,,16.0,23.9,,1035.5,
2023-02-10,4.5,3.0,7.0,0.2,,19.0,23.4,,1035.8,
2023-02-11,4.3,2.0,7.0,0.0,,14.0,17.1,,1033.1,
2023-02-12,3.4,-0.2,7.0,0.2,,331.0,10.7,,1029.5,
2023-02-13,5.7,3.0,8.0,1.1,,14.0,17.9,,1035.3,
2023-02-14,4.4,0.7,8.1,0.0,,298.0,9.0,,1029.6,
2023-02-15,5.8,3.0,8.0,0.0,,333.0,15.8,,1029.9,
2023-02-16,5.4,1.4,8.0,0.0,,250.0,10.2,,1031.9,
2023-02-17,8.5,6.5,11.0,0.0,,208.0,19.7,,1028.1,
2023-02-18,10.4,8.0,13.1,0.0,,220.0,19.5,,1024.1,
2023-02-19,11.8,10.0,15.0,0.0,,237.0,16.3,,1020.1,
2023-02-20,10.5,7.0,14.0,2.5,,298.0,17.1,,1020.8,
2023-02-21,9.8,5.8,14.0,0.0,,231.0,13.6,,1019.1,
2023-02-22,10.7,8.9,14.0,0.0,,236.0,11.3,,1016.4,
2023-02-23,10.0,6.6,14.0,0.0,,17.0,15.0,,1018.2,
2023-02-24,8.1,6.0,10.0,0.0,,308.0,10.9,,1017.6,
2023-02-25,11.2,7.0,15.2,0.0,,211.0,12.7,,1013.1,
2023-02-26,14.3,12.0,17.1,0.0,,230.0,16.3,,1014.0,
2023-02-27,15.9,13.0,19.0,0.4,,156.0,7.8,,1018.5,
2023-02-28,10.4,9.0,14.0,2.1,,3.0,23.0,,1024.5,
2023-03-01,8.8,8.0,10.0,1.3,,33.0,31.2,,1021.7,
2023-03-02,7.9,7.0,9.0,0.4,,33.0,26.2,,1020.9,
2023-03-03,8.6,7.0,10.0,0.1,,35.0,14.0,,1017.8,
2023-03-04,9.6,8.6,11.1,0.9,,226.0,7.8,,1017.7,
2023-03-05,9.9,7.8,13.0,7.0,,23.0,7.6,,1011.0,
2023-03-06,9.5,7.7,12.0,1.5,,291.0,8.2,,1013.4,
2023-03-07,11.5,8.4,14.0,0.0,,199.0,12.9,,1013.0,
2023-03-08,12.1,11.0,15.0,0.7,,210.0,13.5,,1012.5,
2023-03-09,12.6,10.7,15.0,0.2,,232.0,13.0,,1011.9,
2023-03-10,13.8,11.5,17.0,0.0,,222.0,16.8,,1009.9,
2023-03-11,13.5,11.0,15.2,9.2,,200.0,23.2,,1000.9,
2023-03-12,9.7,8.0,12.4,0.8,,6.0,22.9,,1008.9,
2023-03-13,7.9,7.0,9.0,0.0,,38.0,31.1,,1019.2,
2023-03-14,8.2,6.0,11.2,0.0,,44.0,19.3,,1016.6,
2023-03-15,9.6,4.8,15.2,0.0,,287.0,6.8,,1007.4,
2023-03-16,11.2,9.0,13.5,8.4,,39.0,14.0,,1007.5,
2023-03-17,7.7,6.7,9.0,4.0,,13.0,28.8,,1016.7,
2023-03-18,7.3,7.0,8.2,3.9,,1.0,22.0,,1019.1,
2023-03-19,8.7,7.6,9.1,0.4,,3.0,22.0,,1019.4,
2023-03-20,9.5,5.6,12.0,0.0,,346.0,9.4,,1020.0,
2023-03-21,11.2,7.0,16.2,0.0,,51.0,9.2,,1014.8,
2023-03-22,9.8,9.0,12.0,5.1,,24.0,20.2,,1013.0,
2023-03-23,9.9,8.0,12.0,0.5,,25.0,14.0,,1016.8,
2023-03-24,10.1,5.8,14.0,0.0,,12.0,11.2,,1017.5,
2023-03-25,9.7,7.0,13.0,0.0,,270.0,6.0,,1012.1,
2023-03-26,11.4,9.0,15.0,0.6,,52.0,7.0,,1010.2,
2023-03-27,14.0,8.0,19.0,0.0,,125.0,13.3,,1005.5,
2023-03-28,9.4,6.0,14.9,13.8,,257.0,17.8,,1006.1,
2023-03-29,4.9,3.0,7.4,8.6,,358.0,18.5,,1019.5,
2023-03-30,6.5,2.9,9.4,0.0,,2.0,11.8,,1023.4,
2023-03-31,10.0,6.6,13.0,0.3,,170.0,13.1,,1016.8,
2023-04-01,14.3,11.0,18.0,0.7,,213.0,16.3,,1008.1,
2023-04-02,13.1,8.0,15.0,10.6,,222.0,15.8,,1008.9,
2023-04-03,14.3,7.7,20.0,4.7,,72.0,15.7,,1010.3,
2023-04-04,12.8,11.0,15.0,7.5,,315.0,11.2,,1003.7,
2023-04-05,8.5,6.7,12.0,6.3,,9.0,18.1,,1010.9,
2023-04-06,10.2,8.0,14.0,1.5,,118.0,8.6,,1012.1,
2023-04-07,9.7,8.0,12.0,1.5,,32.0,17.6,,1015.6,
2023-04-08,10.6,6.6,16.0,0.2,,45.0,17.2,,1019.6,
2023-04-09,10.9,9.0,13.6,0.1,,42.0,26.9,,1018.7,
2023-04-10,9.8,9.0,10.2,6.7,,21.0,22.5,,1012.4,
2023-04-11,9.7,8.9,10.0,6.6,,284.0,20.5,,1007.0,
2023-04-12,10.3,9.0,12.0,12.5,,256.0,20.8,,1004.5,
2023-04-13,12.8,10.0,17.0,0.0,,207.0,11.2,,1010.7,
2023-04-14,15.8,11.8,21.0,0.0,,232.0,11.0,,1011.3,
2023-04-15,17.3,14.0,21.0,0.0,,227.0,8.1,,1012.8,
2023-04-16,17.4,13.0,23.7,0.0,,23.0,7.8,,1012.0,
2023-04-17,15.3,12.0,20.0,0.6,,350.0,16.3,,1010.5,
2023-04-18,12.6,10.7,17.0,0.2,,14.0,18.7,,1011.2,
2023-04-19,12.5,9.9,16.0,3.3,,317.0,12.4,,1010.6,
2023-04-20,12.8,11.0,15.1,0.1,,264.0,11.0,,1011.4,
2023-04-21,13.7,11.6,16.2,0.3,,253.0,11.4,,1011.9,
2023-04-22,14.4,11.0,19.0,0.0,,64.0,14.2,,1014.3,
2023-04-23,12.5,10.0,16.0,0.0,,38.0,20.5,,1016.0,
2023-04-24,12.3,8.8,16.6,0.0,,110.0,10.0,,1015.2,
2023-04-25,15.1,11.4,20.0,0.1,,145.0,9.6,,1009.5,
2023-04-26,14.6,12.9,17.2,3.6,,163.0,9.3,,1006.7,
2023-04-27,11.3,10.0,13.1,12.2,,350.0,18.7,,1010.8,
2023-04-28,11.3,7.9,14.0,0.2,,349.0,16.6,,1018.0,
2023-04-29,12.0,9.6,15.0,0.0,,335.0,11.6,,1016.2,
2023-04-30,13.1,10.0,16.0,0.0,,211.0,11.3,,1014.5,
2023-05-01,15.2,11.0,20.0,0.0,,51.0,10.0,,1018.1,
2023-05-02,16.6,11.0,22.0,0.0,,51.0,23.1,,1021.6,
2023-05-03,16.8,13.4,24.0,0.6,,22.0,19.9,,1020.1,
2023-05-04,15.1,12.0,20.7,8.0,,7.0,16.5,,1019.0,
2023-05-05,13.4,12.0,15.0,0.3,,23.0,25.6,,1016.6,
2023-05-06,13.9,12.0,16.5,4.9,,25.0,22.8,,1013.5,
2023-05-07,14.8,12.9,18.1,0.0,,7.0,18.1,,1016.9,
2023-05-08,14.4,11.0,19.0,0.0,,65.0,15.5,,1018.7,
2023-05-09,13.7,12.0,16.2,0.0,,38.0,26.6,,1019.6,
2023-05-10,13.4,11.6,16.0,0.0,,36.0,25.9,,1019.2,
2023-05-11,13.2,11.8,15.0,0.0,,50.0,29.0,,1019.0,
2023-05-12,12.7,12.0,14.0,0.4,,38.0,26.8,,1018.6,
2023-05-13,14.2,10.0,18.0,0.0,,41.0,13.8,,1022.0,
2023-05-14,15.4,10.9,20.0,0.0,,42.0,12.3,,1022.6,
2023-05-15,19.0,14.9,24.0,0.0,,65.0,10.1,,1016.3,
2023-05-16,21.1,15.0,29.0,0.0,,13.0,18.9,,1011.4,
2023-05-17,17.0,15.0,22.0,29.1,,24.0,18.0,,1009.6,
2023-05-18,14.6,14.0,15.2,7.4,,331.0,12.6,,1010.0,
2023-05-19,15.5,13.5,17.5,2.2,,311.0,10.9,,1013.4,
2023-05-20,16.7,14.1,20.1,0.9,,349.0,14.6,,1013.6,
2023-05-21,17.0,14.0,22.0,0.2,,30.0,14.1,,1010.2,
2023-05-22,17.9,15.0,21.2,0.0,,29.0,22.5,,1010.0,
2023-05-23,17.1,15.0,21.0,1.8,,10.0,15.7,,1010.9,
2023-05-24,17.1,14.0,20.0,1.0,,295.0,10.4,,1013.4,
2023-05-25,17.8,13.9,21.0,0.2,,25.0,12.2,,1014.4,
2023-05-26,18.9,15.4,24.0,0.0,,18.0,13.3,,1013.3,
2023-05-27,19.0,16.6,22.1,0.0,,50.0,16.0,,1011.9,
2023-05-28,18.3,17.4,20.0,0.7,,33.0,24.4,,1009.7,
2023-05-29,18.8,17.0,21.0,0.8,,20.0,20.5,,1009.8,
2023-05-30,20.0,17.5,24.0,2.1,,348.0,13.2,,1012.7,
2023-05-31,20.5,16.8,26.0,0.3,,31.0,12.5,,1015.6,
2023-06-01,21.1,16.3,25.5,0.0,,36.0,20.9,,1015.0,
2023-06-02,21.9,16.8,27.2,0.0,,51.0,21.8,,1011.9,
2023-06-03,20.7,18.5,24.0,0.4,,24.0,20.0,,1011.6,
2023-06-04,19.2,17.0,21.0,7.8,,14.0,20.0,,1017.4,
2023-06-05,19.6,16.9,24.0,0.0,,22.0,20.7,,1019.4,
2023-06-06,20.4,17.0,24.0,0.0,,44.0,24.6,,1018.2,
2023-06-07,20.2,17.0,24.0,0.0,,43.0,26.2,,1016.1,
2023-06-08,21.0,18.6,24.0,0.0,,34.0,24.8,,1013.4,
2023-06-09,20.8,19.0,23.0,0.0,,28.0,16.1,,1011.4,
2023-06-10,20.3,16.7,23.0,0.0,,255.0,9.9,,1009.1,
2023-06-11,21.6,17.9,26.8,0.4,,71.0,11.5,,1008.0,
2023-06-12,20.8,19.0,23.5,0.3,,37.0,18.7,,1009.3,
2023-06-13,20.0,18.0,23.0,0.0,,31.0,19.7,,1010.1,
2023-06-14,20.5,18.4,24.0,1.5,,12.0,14.5,,1012.2,
2023-06-15,22.0,18.0,27.3,0.0,,55.0,15.9,,1012.7,
2023-06-16,23.5,19.6,28.0,0.0,,39.0,21.3,,1007.5,
2023-06-17,22.8,20.0,27.2,3.5,,34.0,19.5,,1004.6,
2023-06-18,22.9,20.1,26.0,2.1,,6.0,17.6,,1008.7,
2023-06-19,23.1,21.0,26.0,2.2,,342.0,17.3,,1012.5,
2023-06-20,22.4,19.9,26.0,2.7,,291.0,12.3,,1015.1,
2023-06-21,22.5,18.8,26.0,0.4,,264.0,10.1,,1016.3,
2023-06-22,24.0,20.8,30.0,0.0,,49.0,13.8,,1017.6,
2023-06-23,25.2,21.0,30.0,0.0,,45.0,19.4,,1016.8,
2023-06-24,25.7,20.7,31.7,0.0,,43.0,19.6,,1014.4,
2023-06-25,24.4,20.0,29.0,0.0,,27.0,18.0,,1011.0,
2023-06-26,23.4,20.5,26.0,0.0,,18.0,14.5,,1009.5,
2023-06-27,25.6,21.7,30.0,0.0,,28.0,18.9,,1011.5,
2023-06-28,25.0,20.9,28.0,0.0,,98.0,11.8,,1010.8,
2023-06-29,21.7,19.0,24.4,0.7,,13.0,19.6,,1013.9,
2023-06-30,22.2,17.5,26.0,0.0,,226.0,8.1,,1014.0,
2023-07-01,24.4,19.1,29.0,0.0,,87.0,9.9,,1010.7,
2023-07-02,25.2,20.5,30.5,0.0,,132.0,7.8,,1008.3,
